Relative Timestamp (s),CPU Usage (%),Memory Usage (%)
0.00405430793762207,30.8,71.0
0.10437750816345215,13.9,71.0
0.2047104835510254,12.7,71.0
0.30514955520629883,60.4,71.3
0.40554046630859375,46.2,71.4
0.5059008598327637,30.6,71.5
0.6063578128814697,30.9,71.5
0.7068817615509033,39.5,71.6
0.807304859161377,41.6,71.7
0.9078807830810547,32.5,71.7
1.008528709411621,39.5,71.7
1.1090939044952393,30.0,71.8
1.2094299793243408,29.4,71.9
1.3097341060638428,23.1,72.0
1.4100618362426758,22.6,71.9
1.5103440284729004,16.4,72.0
1.6107673645019531,23.9,72.0
1.7111611366271973,32.3,71.9
1.8115429878234863,3.1,71.9
1.9118850231170654,6.2,71.9
2.0122885704040527,6.9,71.8
2.112663507461548,3.8,71.8
2.212967872619629,13.2,71.9
2.3133816719055176,27.7,72.0
2.4139063358306885,46.2,72.1
2.5150022506713867,46.6,72.2
2.6153228282928467,45.0,72.2
2.715857744216919,58.6,72.3
2.8162262439727783,61.3,72.3
2.916536331176758,47.1,72.2
3.01688289642334,43.0,72.3
3.1172492504119873,53.2,72.3
3.217665910720825,41.4,72.3
3.318007707595825,52.5,72.3
3.418487310409546,49.7,72.4
3.518956422805786,41.2,72.3
3.6193790435791016,54.1,72.4
3.7197210788726807,42.1,72.3
3.820742130279541,59.9,72.4
3.921142816543579,77.6,72.5
4.022405624389648,49.7,72.5
4.1227967739105225,55.9,72.5
4.223163843154907,39.9,72.5
4.327394247055054,47.3,72.5
4.427915811538696,45.6,72.4
4.528379201889038,39.6,72.6
4.628918886184692,34.8,72.6
4.729298830032349,37.5,72.6
4.829686164855957,42.4,72.6
4.930136203765869,27.7,72.6
5.030602216720581,38.8,72.7
5.130955934524536,35.4,72.6
5.231338024139404,40.3,72.6
5.331658124923706,19.1,72.6
